,image_file,ld,wer,cer,br,ba,run_time
0,1000-receipt.jpg,0.9433962264150944,1.0,0.056603774428367615,1,0,0.1596289860000013
1,1001-receipt.jpg,0.0,1.0,1.0,0,0,0.16697556599999963
2,1002-receipt.jpg,0.18716577540106952,1.0,0.8128342032432556,1,0,0.23598325599999903
3,1003-receipt.jpg,0.0,1.0,1.0,0,0,0.2211165200000007
4,1004-receipt.jpg,0.8260869565217391,1.0,0.17391304671764374,1,0,0.1943675330000012
5,1005-receipt.jpg,0.15885416666666666,1.0,0.8411458134651184,1,0,0.2344359450000013
6,1006-receipt.jpg,0.08045977011494253,1.0,0.9195402264595032,1,0,0.02023627600000033
7,1007-receipt.jpg,0.8944281524926686,1.0,0.10557185113430023,1,0,0.12629940499999925
8,1008-receipt.jpg,0.8995983935742972,1.0,0.1004016101360321,1,0,0.16407687499999923
9,1009-receipt.jpg,0.4057507987220447,1.0,0.5942491888999939,1,0,0.02281868600000081
10,1010-receipt.jpg,0.5751633986928104,1.0,0.4248366057872772,1,0,0.18342358199999964
11,1011-receipt.jpg,0.5854126679462572,1.0,0.4145873188972473,1,0,0.21713524000000106
12,1012-receipt.jpg,0.9357798165137615,1.0,0.06422018259763718,1,0,0.04537691200000005
13,1013-receipt.jpg,0.8255813953488372,1.0,0.1744185984134674,1,0,0.13310840599999985
14,1014-receipt.jpg,0.4429065743944637,1.0,0.5570934414863586,1,0,0.17857389899999987
15,1015-receipt.jpg,0.6955307262569832,1.0,0.3044692873954773,1,0,0.23010810500000112
16,1016-receipt.jpg,0.7335766423357665,1.0,0.2664233446121216,1,0,0.1930410939999998
17,1017-receipt.jpg,0.523972602739726,1.0,0.47602739930152893,1,0,0.06653189800000092
18,1018-receipt.jpg,0.7268722466960352,1.0,0.2731277644634247,1,0,0.23555079700000014
19,1019-receipt.jpg,0.2123076923076923,1.0,0.7876923084259033,1,0,0.031371408000000045
20,1020-receipt.jpg,0.5066666666666667,1.0,0.4933333396911621,1,0,0.16052162400000114
21,1021-receipt.jpg,0.7866666666666666,1.0,0.2133333384990692,1,0,0.14673194100000053
22,1022-receipt.jpg,0.023166023166023165,1.0,0.9768339991569519,1,0,0.23890993699999896
23,1023-receipt.jpg,0.8492822966507177,1.0,0.15071770548820496,1,0,0.19113087200000045
24,1024-receipt.jpg,0.7063492063492064,1.0,0.2936508059501648,1,0,0.11288700100000071
25,1026-receipt.jpg,0.0,1.0,1.0,0,0,0.22573795199999935
26,1027-receipt.jpg,0.9393939393939394,1.0,0.06060606241226196,1,0,0.19551586399999898
27,1028-receipt.jpg,0.319672131147541,1.0,0.6803278923034668,1,0,0.031403917999998754
28,1029-receipt.jpg,0.7275362318840579,1.0,0.27246376872062683,1,0,0.20570239799999968
29,1030-receipt.jpg,0.2630057803468208,1.0,0.736994206905365,1,0,0.029453949000000534
30,1031-receipt.jpg,0.8409090909090909,1.0,0.15909090638160706,1,0,0.15743754300000035
31,1032-receipt.jpg,0.8909090909090909,1.0,0.1090909093618393,1,0,0.213412359000003
32,1033-receipt.jpg,0.684931506849315,1.0,0.31506848335266113,1,0,0.20952269900000076
33,1035-receipt.jpg,0.6703601108033241,1.0,0.32963988184928894,1,0,0.16024606399999897
34,1036-receipt.jpg,0.8125,1.0,0.1875,1,0,0.19071657199999947
35,1037-receipt.jpg,0.6366459627329193,1.0,0.36335402727127075,1,0,0.21950444100000155
36,1038-receipt.jpg,0.903114186851211,1.0,0.0968858152627945,1,0,0.17833787
37,1039-receipt.jpg,0.08298755186721991,1.0,0.9170124530792236,1,0,0.25672173199999904
38,1040-receipt.jpg,0.8617283950617284,1.0,0.13827160000801086,1,0,0.18237968999999765
39,1042-receipt.jpg,0.8011869436201781,1.0,0.1988130509853363,1,0,0.2034955459999992
40,1043-receipt.jpg,0.5784313725490197,1.0,0.4215686321258545,1,0,0.21242616800000036
41,1044-receipt.jpg,0.005988023952095809,1.0,0.9940119981765747,1,0,0.017912004999999454
42,1045-receipt.jpg,0.2662337662337662,1.0,0.7337662577629089,1,0,0.0399455400000015
43,1046-receipt.jpg,0.7165991902834008,1.0,0.2834008038043976,1,0,0.2005116650000005
44,1047-receipt.jpg,0.0,1.0,1.0,0,0,0.21795382100000182
45,1048-receipt.jpg,0.8833333333333333,1.0,0.11666666716337204,1,0,0.21093596000000048
46,1049-receipt.jpg,0.9634146341463414,1.0,0.03658536449074745,1,0,0.17082966699999957
47,1050-receipt.jpg,0.5836298932384342,1.0,0.41637009382247925,1,0,0.18947495299999773
48,1051-receipt.jpg,0.7714285714285715,1.0,0.22857142984867096,1,0,0.20577881799999886
49,1052-receipt.jpg,0.5836298932384342,1.0,0.41637009382247925,1,0,0.04438095200000092
50,1053-receipt.jpg,0.08823529411764706,1.0,0.9117646813392639,1,0,0.03883162099999993
51,1054-receipt.jpg,0.8876712328767123,1.0,0.11232876777648926,1,0,0.1644505049999978
52,1055-receipt.jpg,0.7056603773584905,1.0,0.2943396270275116,1,0,0.20987583799999854
53,1056-receipt.jpg,0.6407766990291263,1.0,0.35922330617904663,1,0,0.17078677800000008
54,1057-receipt.jpg,0.9695652173913043,1.0,0.030434781685471535,1,0,0.1563961230000004
55,1058-receipt.jpg,0.0,1.0,1.0,0,0,0.2600560730000012
56,1059-receipt.jpg,0.8697674418604651,1.0,0.1302325576543808,1,0,0.20775591599999998
57,1060-receipt.jpg,0.9601328903654485,1.0,0.039867110550403595,1,0,0.2372160259999987
58,1061-receipt.jpg,0.6640625,1.0,0.3359375,1,0,0.13463356700000162
